用户ID,用户类型,活跃度,消费金额,留存率,最后登录天数,注册天数
U0060,核心用户,92.5,856,0.752,49,43
U0061,核心用户,84.5,1838,0.933,24,185
U0062,核心用户,75.4,694,0.837,28,249
U0063,核心用户,77.4,465,0.856,29,75
U0064,核心用户,64.4,1995,0.843,10,341
U0065,核心用户,85.8,1126,0.911,11,311
U0066,核心用户,79.5,1969,0.831,1,340
U0067,核心用户,91.6,1656,0.914,78,30
U0068,核心用户,97.0,1445,0.798,72,68
U0069,核心用户,94.5,1286,1.000,57,141
U0070,核心用户,90.8,1160,0.962,38,221
U0071,核心用户,75.7,1000,0.796,38,364
U0072,核心用户,83.5,1348,0.812,34,291
U0073,核心用户,87.9,788,0.664,56,310
U0074,核心用户,94.9,1162,0.773,19,306
U0075,核心用户,70.1,605,0.658,34,107
U0076,核心用户,77.3,980,0.827,56,136
U0077,核心用户,92.5,1698,0.861,56,243
U0078,核心用户,73.0,1729,0.728,59,341
U0079,核心用户,77.7,1648,0.690,15,221
U0080,核心用户,81.2,1034,0.676,17,42
U0081,活跃用户,83.1,282,0.740,8,265
U0082,活跃用户,68.9,255,0.677,56,344
U0086,活跃用户,70.2,186,0.627,37,168
U0089,活跃用户,65.5,255,0.867,64,89
U0092,活跃用户,69.3,291,0.684,25,174
U0095,活跃用户,78.7,181,0.861,38,188
U0096,活跃用户,71.2,240,0.860,29,76
U0097,活跃用户,78.9,415,0.691,23,332
U0098,活跃用户,65.2,271,0.760,43,353
U0099,活跃用户,80.7,186,0.588,36,211
U0101,活跃用户,65.0,178,0.765,34,46
U0102,活跃用户,71.1,100,0.760,52,227
U0103,活跃用户,66.2,148,0.659,81,113
U0104,活跃用户,66.3,273,0.703,71,286
U0105,活跃用户,62.5,244,0.800,30,173
U0106,活跃用户,74.1,107,0.806,38,348
U0107,活跃用户,60.3,315,0.671,87,84
U0108,活跃用户,69.4,310,0.657,88,284
U0109,活跃用户,61.1,147,0.746,88,107
U0110,活跃用户,76.9,328,0.628,82,36
U0113,活跃用户,67.2,421,0.663,59,244
U0114,活跃用户,79.1,335,0.698,22,264
U0115,活跃用户,78.2,404,0.732,34,46
U0116,活跃用户,79.0,221,0.651,27,342
U0117,活跃用户,63.5,332,0.783,85,219
U0118,活跃用户,76.9,140,0.584,36,311
U0119,活跃用户,60.9,435,0.807,55,140
U0122,活跃用户,64.1,199,0.800,12,304
U0123,活跃用户,72.8,307,0.686,80,227
U0125,活跃用户,55.1,324,0.589,72,344
U0127,活跃用户,75.7,108,0.837,39,44
U0128,活跃用户,79.6,323,0.772,42,137
U0129,活跃用户,70.6,342,0.911,62,274
U0130,活跃用户,71.0,240,0.547,84,94
U0131,活跃用户,65.7,146,0.577,88,169
U0132,活跃用户,82.7,368,0.769,63,331
U0133,活跃用户,77.5,223,0.840,74,136
U0134,活跃用户,62.8,194,0.656,5,83
U0137,活跃用户,63.9,311,0.659,18,66
U0138,活跃用户,67.1,131,0.705,58,352
U0139,活跃用户,73.8,272,0.849,59,88
U0140,活跃用户,70.4,216,0.616,5,264
U0143,活跃用户,69.8,206,0.683,20,271
U0145,活跃用户,63.2,81,0.599,51,87
U0146,活跃用户,49.9,182,0.623,39,300
U0147,活跃用户,78.7,160,0.706,81,265
U0148,活跃用户,65.3,227,0.652,38,44
U0157,消费用户,30.6,1363,0.485,7,113
U0161,消费用户,35.0,488,0.645,37,33
U0164,消费用户,30.8,1027,0.535,87,327
U0171,消费用户,39.8,863,0.559,84,180
U0174,消费用户,44.8,1317,0.553,68,318
U0179,消费用户,30.4,1094,0.488,48,146
U0187,消费用户,35.0,681,0.541,89,175
U0202,消费用户,35.0,625,0.585,52,54
